Activity,Sector,201801,201804,201807,201810,201901,201904,201907,201910,202001,202004,202007,202010,202101,202104
"    Agriculture, forestry, fishing, and hunting",1,0.012686137,0.012553877,0.012109091,0.012109091,0.012139642,0.011873942,0.011753394,0.011797976,0.011984622,0.0124587,0.012302905,0.01234218,0.012843049,0.01282313
    Mining,2,0.016172446,0.016789814,0.017671772,0.017671772,0.017262025,0.015776188,0.015956172,0.015387055,0.015177884,0.013984037,0.009388208,0.010352824,0.011289369,0.012721075
    Utilities,2,0.015296672,0.015189999,0.015323869,0.015323869,0.015661788,0.015226044,0.014568563,0.015299839,0.014824542,0.01358137,0.014782309,0.014947418,0.014987976,0.016048047
    Construction,2,0.045134556,0.04563047,0.045034077,0.045034077,0.044133587,0.045014724,0.04543687,0.04595766,0.046322079,0.048424129,0.05104985,0.048131505,0.048161434,0.047960444
    Manufacturing,2,0.168014371,0.166674913,0.166342381,0.166342381,0.165259701,0.161939204,0.159907954,0.156584824,0.154958917,0.15372041,0.147555448,0.152951468,0.152684871,0.15276006
    Wholesale trade,3,0.056514026,0.056886902,0.056792613,0.056792613,0.056959818,0.056850911,0.056726841,0.056664112,0.056334314,0.056626818,0.054649839,0.057912049,0.05840883,0.058645535
    Retail trade,3,0.05148322,0.051372762,0.05105873,0.05105873,0.051077863,0.051255083,0.051421434,0.051621429,0.051819975,0.051965472,0.055223367,0.057606832,0.056346094,0.058528172
    Transportation and warehousing,3,0.035649332,0.036180015,0.036349011,0.036349011,0.03634324,0.036792229,0.036890158,0.036601739,0.036196458,0.035197427,0.029626383,0.030815936,0.032059899,0.033047751
    Information,3,0.050800508,0.051034657,0.05109134,0.05109134,0.051099488,0.051309019,0.051741036,0.052070724,0.052600492,0.053557476,0.05618807,0.05473453,0.055762801,0.055864553
"    Finance, insurance, real estate, rental, and leasing",3,0.18768152,0.186642367,0.186552279,0.186552279,0.187795483,0.18957585,0.190043839,0.191154161,0.191506081,0.194203185,0.209552325,0.2006633,0.199226342,0.196735281
    Professional and business services,3,0.111880872,0.1123829,0.112669435,0.112669435,0.112997878,0.113855539,0.115286071,0.116222216,0.116273244,0.116778978,0.117996712,0.115003829,0.117021813,0.11680376
"    Educational services, health care, and social assistance",3,0.079230997,0.07887749,0.07922541,0.07922541,0.079309086,0.080113373,0.080076492,0.080117345,0.080440675,0.080277547,0.078885062,0.079737732,0.079301321,0.076196332
"    Arts, entertainment, recreation, accommodation, and food services",3,0.041312486,0.041724392,0.041732339,0.041732339,0.04154131,0.041918816,0.041953199,0.042262864,0.042691095,0.039101438,0.024923456,0.032846168,0.032563652,0.034274955
"    Other services, except government",3,0.02019877,0.020492479,0.020590345,0.020590345,0.020646312,0.020595342,0.020427948,0.020609456,0.020628316,0.02001072,0.018220535,0.019220445,0.01897823,0.018270281
    Federal,3,0.032420439,0.032485596,0.03244671,0.03244671,0.032629175,0.03291695,0.033102864,0.033118376,0.033309074,0.03389609,0.039194002,0.03599371,0.034955153,0.035257228
    State and local,3,0.075523646,0.075081365,0.075010598,0.075010598,0.075143602,0.074986786,0.074707164,0.074530222,0.074932232,0.076216203,0.080461528,0.076740073,0.075409167,0.074063396
