"Periodo","Total","Primarias","Secundarias","Terciarias"
201901,1.37577103269084,-0.50561062650144,-0.400845042766107,2.38657265749425
201902,0.983899026111623,5.8937439426926,-0.0917965782001429,1.27571758760507
201903,1.03184647919741,1.82926122786344,-0.0231116378094476,1.51678843540344
201904,-1.55435869449305,-1.58098657995628,-2.98240455087759,-0.855128394192795
201905,-0.467399637120169,-1.57002335257459,-3.34314205671384,0.994904286999398
201906,-1.36739206293107,0.939310311530162,-3.1487992061749,-0.619306740337522
201907,0.534094865244761,2.40441710593875,-1.51624204922658,1.4426723978308
201908,-0.936303042241671,-1.5795913302992,-1.35005488665015,-0.711088366462342
201909,0.0839964150264327,5.7674169432443,-1.91377263275568,0.881537030283863
201910,-0.527120862501274,7.48878634717893,-3.42580039004922,0.542421803767423
201911,-1.27417280606333,-4.84147243598889,-2.22402105079953,-0.612712045092045
201912,0.182949638820729,-3.35887534967096,-1.1981471441549,1.04134361691386
202001,-0.195387294491811,-0.343934474635899,-0.6940697774934,0.0585111978661956
202002,-0.1069493987644,-9.83865907074334,-0.976342923287832,0.813595692805547
202003,-2.16756816606266,6.72360933854186,-4.3313064359999,-1.47433443149024
202004,-19.7295799519729,-1.57327461232187,-28.5049936659687,-16.3806893548515
202005,-22.85807043332,-0.525707038620393,-30.1923989491871,-20.5718808672839
202006,-13.2968626253861,-4.1914316519864,-16.194811133955,-12.4128873428348
202007,-9.90354745468698,7.69940036530041,-11.2745875825039,-10.0906698746814
202008,-9.31522619847288,3.44086359852347,-9.10356546994474,-9.89174623471086
202009,-5.18073797758448,4.91345587648768,-5.73358697614926,-5.28438956168678
202010,-5.41200583178036,5.49455387260496,-3.61702437106045,-6.67853992942087
202011,-4.58923352436412,3.54463159107485,-4.17536246202732,-5.27518702305353
202012,-2.32920567020862,-2.9500567163245,-2.32638057083673,-2.29029127553196
202101,-6.17691489046822,-0.739124711643591,-6.02195776366694,-6.56747112107986
202102,-5.62350369216895,1.71878869569229,-5.21190684017182,-6.1557647392434
202103,1.43161404491581,-4.11309051808106,1.44154835945056,1.66299296731161
202104,22.3904521167078,-0.819787380463366,35.1289413911853,18.4575991855797
202105,25.8973614051302,8.07204976370672,36.3967230406153,22.7258029498794
202106,13.530404915763,8.42010692649648,13.5996944828998,13.8054360880733
202107,7.52123651144812,-0.16773394462164,7.97392320933772,7.74682514559208
202108,4.31853586089337,1.81330235795296,5.5145171465528,3.8429128382329
202109,0.92312216120245,-1.06255463627529,1.5793078811521,0.68718847789746
