"OBS","Total","Primarias","Secundarias","Terciarias"
201901,4.63205514140264,0.124702353512918,3.64785751409644,5.03320644458944
201902,3.92507428942854,-0.551823088693826,2.94752671669811,4.32351508205799
201903,4.2217909138792,-0.267888460187193,3.2414523437114,4.62136929537103
201904,3.95881936083449,-1.67173125250264,1.26541377987486,4.93928608547016
201905,3.73336741220538,-1.88497241790588,1.04580292813785,4.71170783206967
201906,3.97235062948975,-1.65893285570466,1.27859447515175,4.952944971568
201907,4.21774784890474,1.15641646931466,0.591656435763377,5.45939149452292
201908,3.94054165707733,0.887353036577454,0.324095194173357,5.17888268568725
201909,4.12613542052993,1.06749509891733,0.503231516682567,5.36668760148016
201910,3.88444100253043,1.21537130419367,-0.852414583966599,5.48477057916317
201911,4.46137010244585,1.77747754936961,-0.301791924203088,6.07058721501086
201912,4.35514606140153,1.6739826886188,-0.403172430090593,5.96272680308183
202001,3.81725624249754,2.49153748878865,-0.909963897200583,5.37528822916968
202002,4.4236841695289,3.09022149246145,-0.331149089738114,5.99081709126836
202003,-1.37967576678054,-2.63903108077034,-5.87025854436696,0.100363537402459
202004,-12.667172975183,-8.36627869210689,-15.6936345758057,-11.7752462084731
202005,-8.96541678337266,-4.48222149636617,-12.120160306739,-8.0356841246083
202006,-3.93975662762677,0.790938182398593,-7.26866109364552,-2.95869709710062
202007,-2.8132779595735,1.73053064712827,-8.20837033177951,-1.19290305278594
202008,-1.7037258121835,2.89195811751555,-7.16041236311342,-0.0648515628967172
202009,-0.599439259839707,4.04787380844391,-6.11742768236482,1.05784653972631
202010,-0.0663613499147453,4.54326710567212,-2.99979102866467,0.767811647520755
202011,-1.4860719823473,3.05806962998676,-4.37782779271146,-0.66374969193842
202012,-1.44258310343621,3.10356451584846,-4.33561547662563,-0.619897799641977
202101,1.07847531090011,8.31846104642937,-0.73948210154674,1.51944389628618
202102,-0.893765060482832,6.20495427671652,-2.67625053895704,-0.461400641749821
202103,7.86597508809055,15.5921316074154,5.92594039367076,8.33655506369444
202104,22.0970493402181,25.6685156802901,21.9799433011498,22.0738312380802
202105,17.2837312740573,20.7144030285906,17.1712417971136,17.2614284774988
202106,11.4457823704331,14.7056880162273,11.3388922022039,11.4245897243217
202107,9.98462571540288,14.6352957736367,13.2992404098164,8.94447602453889
202108,9.98281909587888,14.6334127616963,13.2973793440679,8.94268649062779
202109,9.16881521271447,13.7849889451813,12.4588437664517,8.1363808278458
